timestamp,cpu_avg,memory_sum,requests_per_second,instance_count
1776062958.3365347,0.3,15.48,0.0,1
1776063150.2099826,0.01,17.12,0.0,1
1776063158.2803557,0.35,16.08,0.0,1
1776063166.3655481,0.01,15.34,0.0,1
1776063174.4547658,0.01,13.45,0.0,1
1776063182.5400238,0.01,13.81,0.0,1
1776063190.586903,0.01,12.29,0.0,1
1776063198.6430628,0.26,12.43,0.0,1
1776063206.7030876,0.01,12.19,0.0,1
1776063214.7591586,0.01,12.16,0.0,1
1776063222.8064637,0.11,12.16,0.0,1
1776063231.4358861,0.01,10.26,0.0,1
1776063239.497056,0.23,9.22,0.0,1
1776063247.5429869,0.01,8.97,0.0,1
1776063255.6014705,0.01,8.98,0.0,1
1776063263.6634822,0.09,8.9,0.0,1
1776063271.7170274,0.01,9.02,0.0,1
1776063279.790142,0.25,9.03,0.0,1
1776063287.836844,0.01,9.02,0.0,1
1776063295.8816087,0.02,8.78,0.0,1
1776063309.6217406,0.3,9.19,0.0,1
1776063317.6916544,0.01,8.95,0.0,1
1776063325.7480583,0.01,9.07,0.0,1
1776063333.8212407,0.1,8.96,0.0,1
1776063365.7326157,0.01,8.92,0.0,1
1776063373.7862768,0.1,9.2,0.0,1
1776063381.8303103,0.01,8.86,0.0,1
1776063389.9009666,0.32,8.86,0.0,1
1776063398.0071688,0.01,8.74,0.0,1
1776063406.1018968,0.01,8.74,0.0,1
1776063414.1913884,0.13,9.0,0.0,1
1776063422.2838542,0.01,9.0,0.0,1
1776063430.8243291,0.01,8.75,0.0,1
1776063439.0501213,0.17,9.12,0.0,1
1776063447.333575,0.01,9.0,0.0,1
